trumpApprove,commonweight,birthyr,gender,race,hispanic,educ,region,age_bin,gender_bin,race_bin,educ_bin,party_id,inputstate
1,1.26749006216108,1978,2,1,2,3,3,30-44,Female,White,Some college,2,37
0,1.34327298802684,1950,2,1,2,6,2,65+,Female,White,Postgraduate,1,17
1,1.35070366913099,1965,2,1,2,4,3,45-64,Female,White,Some college,2,37
1,1.0776170910758,1958,2,1,2,5,2,45-64,Female,White,College degree,2,27
0,0.376264791999824,1955,1,3,NA,6,3,65+,Male,Hispanic,Postgraduate,3,12
0,0.328346767928807,1988,1,1,2,6,1,30-44,Male,White,Postgraduate,4,36
1,0.76156368233728,1990,1,1,2,5,2,30-44,Male,White,College degree,3,26
1,0.954782680089158,1952,2,1,2,3,2,65+,Female,White,Some college,3,55
0,0.228106226933301,1994,1,7,2,6,4,18-29,Male,Other,Postgraduate,5,6
0,0.417624915860289,1958,1,1,2,4,2,45-64,Male,White,Some college,1,26
1,2.17503943573369,1944,2,4,2,6,4,65+,Female,Asian,Postgraduate,3,6
0,0.67141772339589,1947,2,1,2,3,3,65+,Female,White,Some college,1,12
0,0.660892215239207,1964,1,1,2,3,3,45-64,Male,White,Some college,1,12
1,1.47376429784759,1953,1,1,2,6,2,65+,Male,White,Postgraduate,2,29
1,1.2278754047804,1948,2,1,2,3,3,65+,Female,White,Some college,2,12
0,0.840162787004923,1987,2,1,2,6,4,30-44,Female,White,Postgraduate,3,53
1,0.541318152020214,1961,2,1,2,4,4,45-64,Female,White,Some college,2,4
0,0.322322930241132,1941,2,3,NA,6,3,65+,Female,Hispanic,Postgraduate,1,24
1,0.885050535228516,1964,1,1,2,3,3,45-64,Male,White,Some college,2,37
0,0.731669567701322,1993,1,7,2,5,4,18-29,Male,Other,College degree,1,41
0,2.34565614474288,1950,2,3,NA,5,1,65+,Female,Hispanic,College degree,1,25
0,0.694906759311915,1966,2,1,2,3,3,45-64,Female,White,Some college,3,48
1,1.03437253350549,1965,2,1,2,6,4,45-64,Female,White,Postgraduate,2,41
1,0.589167612426776,1993,2,1,2,5,4,18-29,Female,White,College degree,3,6
0,0.713821011047742,1945,2,1,2,2,4,65+,Female,White,H.S. or less,1,41
0,1.36815393289058,1956,1,1,2,1,4,45-64,Male,White,H.S. or less,1,32
